id,校区,教室,类别,是否排课,容量,教学楼,,id%110
3797,成都,2-603,实验室,是,30,2,,72
3796,成都,2-605,实验室,是,30,2,,71
4868,成都,2-607,实验室,否,30,2,,100
3492,成都,3-109B,实验室,是,40,无,,65
3352,成都,4-A106,多媒体,是,266,第4教学楼A区,,74
3358,成都,4-A109,多媒体,是,158,第4教学楼A区,,80
3360,成都,4-A203,多媒体,是,196,第4教学楼A区,,82
3364,成都,4-A208,多媒体,是,266,第4教学楼A区,,86
3366,成都,4-A303,多媒体,是,196,第4教学楼A区,,88
3368,成都,4-A305,多媒体,是,196,第4教学楼A区,,90
3370,成都,4-A307,多媒体,是,158,第4教学楼A区,,92
3371,成都,4-A308,多媒体,是,158,第4教学楼A区,,93
3373,成都,4-A403,多媒体,是,198,第4教学楼A区,,95
3375,成都,4-A406,多媒体,是,266,第4教学楼A区,,97
3376,成都,4-A407,多媒体,是,158,第4教学楼A区,,98
3378,成都,4-A409,多媒体,是,158,第4教学楼A区,,100
3383,成都,4-B105,多媒体,是,116,第4教学楼B区,,105
3487,成都,4-B106,多媒体,是,149,第4教学楼B区,,60
3488,成都,4-B108,多媒体,是,147,第4教学楼B区,,61
3388,成都,4-B205,多媒体,是,116,第4教学楼B区,,110
3390,成都,4-B207,多媒体,是,116,第4教学楼B区,,112
3392,成都,4-B209,多媒体,是,116,第4教学楼B区,,114
3453,成都,4-B402,多媒体,是,143,第4教学楼B区,,26
3457,成都,4-B407,多媒体,是,116,第4教学楼B区,,30
3458,成都,4-B408,多媒体,是,147,第4教学楼B区,,31
3405,成都,4-B504,多媒体,是,149,第4教学楼B区,,127
3409,成都,4-B508,多媒体,是,147,第4教学楼B区,,131
3410,成都,4-B509,多媒体,是,67,第4教学楼B区,,132
3420,成都,4-B610,多媒体,是,70,第4教学楼B区,,142
3829,成都,4-C105,多媒体,是,130,第4教学楼C区,,104
3830,成都,4-C106,多媒体,是,148,第4教学楼C区,,105
3832,成都,4-C108,多媒体,是,148,第4教学楼C区,,107
3866,成都,4-C202,实验室,否,90,第4教学楼C区,,141
3838,成都,4-C204,多媒体,否,147,第4教学楼C区,,113
3839,成都,4-C205,多媒体,否,130,第4教学楼C区,,114
3836,成都,4-C206,多媒体,否,147,第4教学楼C区,,111
4731,成都,4-C402,实验室,是,75,4,,112
3495,成都,4-C408,实验室,否,75,第4教学楼C区,,68
3496,成都,4-C409,实验室,否,60,第4教学楼C区,,69
3757,成都,5-324,实验室,是,42,5,,32
3779,成都,5-627,实验室,是,58,五教,,54
4705,成都,6-118,实验室,是,56,6,,86
4728,成都,7-405,实验室,是,60,7,,109
4755,成都,木工车间03,实验室,是,40,木工车间,,136
3582,都江堰,1219,多媒体,是,169,一教,,6
3596,都江堰,1403,多媒体,是,136,一教,,20
3602,都江堰,1409,多媒体,是,77,一教,,26
3513,都江堰,1503,多媒体,是,136,一教,,86
3512,都江堰,1505,多媒体,是,165,一教,,85
4652,都江堰,2A103,多媒体,是,126,二教,,33
4649,都江堰,2A302,多媒体,是,116,二教,,30
4654,都江堰,2A303,多媒体,是,126,二教,,35
4645,都江堰,2A401,多媒体,是,135,二教,,26
4651,都江堰,2A502,多媒体,是,116,二教,,32
3552,都江堰,4101,多媒体,否,220,四教,,125
3624,都江堰,5501,多媒体,是,101,五教,,48
5011,都江堰,5606,实验室,是,60,五教,,94
4834,都江堰,都江堰_校区外,实验室,否,85,校区外,,66
3541,都江堰,图书馆报告厅,多媒体,是,410,图书馆,,114
4532,雅安,10-a1005,实验室,是,35,10教A区,,62
3150,雅安,10-A104,多媒体,是,188,10教A区,,21
3151,雅安,10-A202,多媒体,是,188,10教A区,,22
3068,雅安,10-A204,多媒体,是,188,10教A区,,88
3152,雅安,10-A212,多媒体,是,142,10教A区,,23
3072,雅安,10-A302,多媒体,是,188,10教A区,,92
3073,雅安,10-A304,多媒体,是,188,10教A区,,93
3076,雅安,10-A312,多媒体,是,131,10教A区,,96
2897,雅安,10-A403,多媒体,是,260,10教A区,,66
3196,雅安,10-A404,多媒体,是,188,10教A区,,67
3197,雅安,10-A409,多媒体,是,110,10教A区,,68
3156,雅安,10-A410,多媒体,是,115,10教A区,,27
3157,雅安,10-A411,多媒体,是,101,10教A区,,28
3158,雅安,10-A412,多媒体,是,92,10教A区,,29
3160,雅安,10-A515,语音室,是,49,10教A区,,31
3023,雅安,10-A517,语音室,是,40,10教A区,,43
2898,雅安,10-A604,多媒体,是,135,10教A区,,67
3083,雅安,10-A608,多媒体,是,123,10教A区,,103
3084,雅安,10-A708,多媒体,是,123,10教A区,,104
3149,雅安,10-B203,多媒体,是,243,10教B区,,20
3036,雅安,10-B209,多媒体,是,157,10教B区,,56
3240,雅安,10-B210,多媒体,是,145,10教B区,,111
3249,雅安,10-B211,多媒体,是,149,10教B区,,120
3250,雅安,10-B212,多媒体,是,156,10教B区,,121
3037,雅安,10-B213,多媒体,是,129,10教B区,,57
4537,雅安,10-B301,实验室,是,64,10教B区,,67
4542,雅安,10-B308,实验室,是,50,10教B区,,72
4545,雅安,10-B315,实验室,是,48,10教B区,,75
3176,雅安,10-B401,多媒体,是,174,10教B区,,47
3177,雅安,10-B403,多媒体,是,174,10教B区,,48
3238,雅安,10-B508,语音室,是,80,10教B区,,109
4842,雅安,11-107,实验室,否,30,11,,74
4564,雅安,11-221,实验室,是,70,11教,,94
2892,雅安,1-203,多媒体,是,60,1教,,61
2893,雅安,1-204,多媒体,是,60,1教,,62
3147,雅安,1-212,多媒体,是,75,1教,,18
4619,雅安,12-405,实验室,是,36,12教,,0
4629,雅安,12-615,实验室,是,35,12教,,10
4691,雅安,12-616,实验室,否,30,12教,,72
3054,雅安,1-511,多媒体,是,151,1教,,74
4669,雅安,3-102,实验室,是,30,3教,,50
4399,雅安,4-310,实验室,是,35,4教,,78
4898,雅安,4-312,实验室,否,45,4教,,130
4421,雅安,4-618,实验室,是,40,4教,,100
4923,雅安,6-104,实验室,否,20,6教,,6
4478,雅安,6-407,实验室,是,45,6教,,8
4496,雅安,7-508,实验室,是,45,7教,,26
4911,雅安,7-614,实验室,否,40,7教,,143
4946,雅安,武术馆1,体育馆,是,50,体育馆,,29
4978,雅安,武术馆2,体育馆,是,50,体育馆,,61
4679,雅安,艺术楼4-07,实验室,是,35,艺术楼,,60
